time_s,time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x_centered,acc_y_centered,acc_z_centered
45.199708,248830721,-926.285,-198.921,309.148,7.044100699844535,3.9429353291861275,18.280552099533452
45.207633,248838646,-925.98,-202.459,310.124,7.3491006998444846,0.40493532918611663,19.25655209953345
45.209747,248840760,-925.98,-202.459,310.124,7.3491006998444846,0.40493532918611663,19.25655209953345
45.219552,248850565,-925.98,-202.459,310.124,7.3491006998444846,0.40493532918611663,19.25655209953345
45.224385,248855398,-924.821,-200.629,309.575,8.508100699844476,2.234935329186129,18.707552099533416
45.229471,248860484,-924.821,-200.629,309.575,8.508100699844476,2.234935329186129,18.707552099533416
45.239417,248870430,-924.821,-200.629,309.575,8.508100699844476,2.234935329186129,18.707552099533416
45.241258,248872271,-925.492,-201.361,309.88,7.837100699844541,1.5029353291861298,19.012552099533423
45.249301,248880314,-925.492,-201.361,309.88,7.837100699844541,1.5029353291861298,19.012552099533423
45.258047,248889060,-928.847,-204.777,309.819,4.482100699844523,-1.913064670813867,18.951552099533444
45.259206,248890219,-928.847,-204.777,309.819,4.482100699844523,-1.913064670813867,18.951552099533444
45.269174,248900187,-928.847,-204.777,309.819,4.482100699844523,-1.913064670813867,18.951552099533444
45.274948,248905961,-929.701,-204.167,307.684,3.628100699844481,-1.3030646708138818,16.816552099533453
45.279104,248910117,-929.701,-204.167,307.684,3.628100699844481,-1.3030646708138818,16.816552099533453
45.289056,248920069,-929.701,-204.167,307.684,3.628100699844481,-1.3030646708138818,16.816552099533453
45.291732,248922745,-927.261,-203.496,309.88,6.0681006998445355,-0.6320646708138895,19.012552099533423
45.298977,248929990,-927.261,-203.496,309.88,6.0681006998445355,-0.6320646708138895,19.012552099533423
45.308523,248939536,-925.431,-201.849,308.172,7.898100699844463,1.0149353291861303,17.304552099533453
45.308874,248939887,-925.431,-201.849,308.172,7.898100699844463,1.0149353291861303,17.304552099533453
45.31869,248949703,-925.431,-201.849,308.172,7.898100699844463,1.0149353291861303,17.304552099533453
45.3254,248956413,-923.601,-202.459,309.392,9.728100699844504,0.40493532918611663,18.524552099533423
45.32873,248959743,-923.601,-202.459,309.392,9.728100699844504,0.40493532918611663,18.524552099533423
45.338538,248969551,-923.601,-202.459,309.392,9.728100699844504,0.40493532918611663,18.524552099533423
45.342293,248973306,-925.431,-200.263,307.684,7.898100699844463,2.6009353291861146,16.816552099533453
45.348465,248979478,-925.431,-200.263,307.684,7.898100699844463,2.6009353291861146,16.816552099533453
45.358419,248989432,-925.431,-200.263,307.684,7.898100699844463,2.6009353291861146,16.816552099533453
45.359044,248990057,-928.908,-202.825,312.503,4.421100699844487,0.038935329186131185,21.635552099533413
45.368322,248999335,-928.908,-202.825,312.503,4.421100699844487,0.038935329186131185,21.635552099533413
45.375837,249006850,-930.311,-204.96,314.333,3.0181006998444673,-2.096064670813888,23.465552099533454
45.378229,249009242,-930.311,-204.96,314.333,3.0181006998444673,-2.096064670813888,23.465552099533454
45.388187,249019200,-930.311,-204.96,314.333,3.0181006998444673,-2.096064670813888,23.465552099533454
45.392734,249023747,-925.98,-204.045,315.004,7.3491006998444846,-1.1810646708138677,24.136552099533446
45.398103,249029116,-925.98,-204.045,315.004,7.3491006998444846,-1.1810646708138677,24.136552099533446
45.407923,249038936,-925.98,-204.045,315.004,7.3491006998444846,-1.1810646708138677,24.136552099533446
45.409495,249040508,-924.089,-202.52,312.137,9.240100699844447,0.3439353291861096,21.269552099533428
45.417855,249048868,-924.089,-202.52,312.137,9.240100699844447,0.3439353291861096,21.269552099533428
45.426334,249057347,-926.529,-202.52,311.649,6.800100699844506,0.3439353291861096,20.781552099533428
45.427775,249058788,-926.529,-202.52,311.649,6.800100699844506,0.3439353291861096,20.781552099533428
45.437726,249068739,-926.529,-202.52,311.649,6.800100699844506,0.3439353291861096,20.781552099533428
45.443237,249074250,-927.688,-200.751,309.88,5.641100699844515,2.112935329186115,19.012552099533423
45.447657,249078670,-927.688,-200.751,309.88,5.641100699844515,2.112935329186115,19.012552099533423
45.457609,249088622,-927.688,-200.751,309.88,5.641100699844515,2.112935329186115,19.012552099533423
45.460001,249091014,-929.884,-201.605,309.941,3.445100699844488,1.25893532918613,19.0735520995334
45.467513,249098526,-929.884,-201.605,309.941,3.445100699844488,1.25893532918613,19.0735520995334
45.476916,249107929,-932.019,-201.849,311.405,1.3101006998444973,1.0149353291861303,20.5375520995334
45.47742,249108433,-932.019,-201.849,311.405,1.3101006998444973,1.0149353291861303,20.5375520995334
45.487243,249118256,-932.019,-201.849,311.405,1.3101006998444973,1.0149353291861303,20.5375520995334
45.493678,249124691,-927.749,-199.775,311.527,5.580100699844479,3.088935329186114,20.659552099533414
45.497427,249128440,-927.749,-199.775,311.527,5.580100699844479,3.088935329186114,20.659552099533414
45.507249,249138262,-927.749,-199.775,311.527,5.580100699844479,3.088935329186114,20.659552099533414
45.51044,249141453,-927.749,-199.775,311.527,5.580100699844479,3.088935329186114,20.659552099533414
45.510624,249141637,-923.54,-200.873,311.588,9.78910069984454,1.9909353291861294,20.72055209953345
45.517172,249148185,-923.54,-200.873,311.588,9.78910069984454,1.9909353291861294,20.72055209953345
45.527136,249158149,-923.54,-200.873,311.588,9.78910069984454,1.9909353291861294,20.72055209953345
45.527493,249158506,-923.54,-199.104,312.076,9.78910069984454,3.7599353291861064,21.20855209953345
45.537047,249168060,-923.54,-199.104,312.076,9.78910069984454,3.7599353291861064,21.20855209953345
45.544176,249175189,-925.248,-200.812,315.187,8.081100699844455,2.051935329186108,24.31955209953344
45.546973,249177986,-925.248,-200.812,315.187,8.081100699844455,2.051935329186108,24.31955209953344
45.556915,249187928,-925.248,-200.812,315.187,8.081100699844455,2.051935329186108,24.31955209953344
