seconds,data
42.36,0.313
42.395,0.3159999999999999
42.435,0.344
42.49,0.3405
42.518,0.3155
42.558,0.3159999999999999
42.603,0.3285
42.637,0.3237500000000001
42.68,0.33375
42.729,0.311
42.766,0.32975
42.81,0.3155
42.837,0.3137500000000001
42.879,0.3162499999999999
42.942,0.3002500000000001
42.957,0.3329999999999999
43.012,0.32825
43.038,0.309
43.082,0.31325
43.126,0.3164999999999999
43.158,0.3355
43.203,0.3097499999999999
43.237,0.3195
43.291,0.31775
43.317,0.3109999999999999
43.359,0.318
43.397,0.2922500000000001
43.445,0.32875
43.478,0.3119999999999999
43.54,0.3105000000000001
43.558,0.313
43.607,0.3029999999999999
43.66,0.33225
43.679,0.2957499999999999
43.72,0.299
43.756,0.3317500000000001
43.804,0.2925000000000001
43.846,0.3165000000000001
43.879,0.31325
43.929,0.33425
43.959,0.3247500000000001
44.0,0.3149999999999999
44.043,0.3115
44.084,0.3132499999999999
44.119,0.3069999999999999
44.161,0.3172499999999999
44.197,0.3319999999999999
44.263,0.283
44.277,0.312
44.329,0.316
44.371,0.3129999999999999
44.398,0.3315
44.445,0.3267499999999999
44.476,0.3145
44.519,0.31
44.531,0.3277500000000001
44.563,0.3047500000000001
44.605,0.34725
44.644,0.3319999999999999
44.677,0.3137500000000001
44.728,0.3135
44.759,0.3085
44.81,0.3277500000000001
44.844,0.2849999999999999
44.884,0.3139999999999999
44.927,0.3097500000000001
44.974,0.3175
44.999,0.3137500000000001
45.041,0.32175
45.088,0.3337500000000001
45.118,0.3185
45.169,0.3299999999999999
45.199,0.32325
45.249,0.31975
45.278,0.3127500000000001
45.325,0.32125
45.369,0.3067500000000001
45.395,0.33025
45.436,0.3075000000000001
45.49,0.2877499999999999
45.517,0.32525
45.582,0.3327500000000001
45.597,0.2965
45.641,0.321
45.701,0.326
45.715,0.314
45.77,0.2985
45.801,0.3302500000000001
45.839,0.31025
45.888,0.3159999999999999
45.917,0.3135
45.975,0.3197500000000001
46.005,0.3359999999999999
46.036,0.31425
46.097,0.32725
46.119,0.3285
46.167,0.31375
46.198,0.29375
46.241,0.2889999999999999
46.304,0.3360000000000001
46.322,0.29125
46.363,0.3075
46.416,0.3275000000000001
46.439,0.2985
46.478,0.28875
46.517,0.32225
46.557,0.3085
46.594,0.3165
46.639,0.3480000000000001
46.678,0.3234999999999999
46.716,0.3107500000000001
46.759,0.3145
46.799,0.32275
46.835,0.3165
46.878,0.33575
46.921,0.3192499999999999
46.961,0.33675
47.023,0.3129999999999999
47.037,0.30625
47.09,0.32225
47.119,0.353
47.162,0.33625
47.208,0.3514999999999999
47.242,0.3042499999999999
47.279,0.3319999999999999
47.32,0.3385
47.367,0.321
47.411,0.33575
47.442,0.34875
47.479,0.35875
47.522,0.3625
47.563,0.3472499999999999
47.616,0.3455
47.64,0.3492499999999999
47.688,0.32675
47.73,0.35625
47.761,0.3564999999999999
47.807,0.36575
47.84,0.3377500000000001
47.88,0.34275
47.931,0.39125
47.965,0.34075
48.004,0.3409999999999999
48.038,0.3414999999999999
48.086,0.3435
48.118,0.38425
48.175,0.3642499999999999
48.197,0.364
48.246,0.3884999999999999
48.281,0.385
48.342,0.36075
48.357,0.394
48.404,0.3857499999999999
48.455,0.34175
48.476,0.372
48.527,0.4070000000000001
48.558,0.41
48.611,0.3904999999999999
48.64,0.38425
48.678,0.3684999999999999
48.73,0.4092500000000001
48.756,0.37925
48.805,0.41075
48.84,0.3959999999999999
48.875,0.413
48.93,0.4067499999999999
48.957,0.3904999999999999
49.0,0.38275
49.061,0.388
49.09,0.3925
49.117,0.366
49.157,0.34175
49.199,0.3684999999999999
49.244,0.3645
49.281,0.38625
49.324,0.3755
49.356,0.3410000000000001
49.401,0.3362499999999999
49.448,0.356
49.478,0.3400000000000001
49.518,0.36975
49.562,0.34125
49.612,0.35675
49.649,0.3492499999999999
49.684,0.3465
49.717,0.33575
49.778,0.344
49.797,0.3767499999999999
49.839,0.3675
49.877,0.3522499999999999
49.925,0.33175
49.964,0.3652500000000001
49.996,0.3502499999999998
50.041,0.33975
50.081,0.3297499999999999
50.117,0.325
50.155,0.33175
50.203,0.33175
50.216,0.3435
50.24,0.311
50.283,0.32725
50.318,0.325
50.383,0.3292499999999999
50.398,0.3245
50.45,0.32975
50.497,0.32625
50.516,0.31825
50.561,0.3057500000000001
50.598,0.3129999999999999
50.646,0.3145
50.679,0.3340000000000001
50.729,0.3082499999999999
50.773,0.3184999999999999
50.801,0.2927499999999999
50.844,0.31225
50.88,0.30225
50.927,0.3405
50.975,0.31875
51.005,0.3252499999999999
51.044,0.31225
51.113,0.32125
51.129,0.3127500000000001
51.158,0.3195
51.195,0.2945
51.249,0.3117499999999999
51.286,0.33725
51.32,0.33325
51.36,0.31375
51.397,0.3067499999999999
51.455,0.2932500000000001
51.476,0.3035
51.516,0.3207500000000001
51.562,0.28825
51.599,0.3215
51.645,0.324
51.7,0.33925
51.718,0.3175000000000001
51.769,0.3159999999999999
51.818,0.3197500000000001
51.838,0.3105
51.888,0.3265
51.919,0.30925
51.961,0.313
52.005,0.2945
52.04,0.30525
52.095,0.31225
52.122,0.3039999999999999
52.164,0.3397500000000001
52.2,0.3127500000000001
52.237,0.29225
52.291,0.3375
52.323,0.314
52.359,0.3309999999999999
52.422,0.29925
52.436,0.3255
52.48,0.3135000000000001
52.542,0.3169999999999999
52.557,0.31225
52.604,0.3235
52.638,0.3117500000000001
52.677,0.31775
52.715,0.3115
52.758,0.3132500000000001
52.805,0.32575
52.841,0.3189999999999999
52.886,0.2945
52.922,0.3095
52.956,0.3119999999999999
53.003,0.2907499999999999
53.04,0.319
53.079,0.3262499999999999
53.134,0.31125
53.158,0.2905000000000001
53.206,0.3207500000000001
53.237,0.3252499999999999
53.282,0.31625
53.328,0.3175
53.359,0.3137500000000001
53.407,0.324
53.437,0.3135000000000001
53.491,0.3085
53.524,0.31025
53.555,0.306
53.605,0.2907499999999999
53.636,0.28975
53.682,0.29075
53.738,0.3395
53.757,0.3162499999999999
53.801,0.2875
53.859,0.3207500000000001
53.877,0.31375
53.919,0.2894999999999998
53.956,0.3215
54.009,0.3229999999999999
54.047,0.32525
54.078,0.31325
54.121,0.31625
54.16,0.3000000000000001
54.209,0.325
54.239,0.2952500000000001
54.282,0.3115
54.322,0.3247500000000001
54.36,0.3047499999999999
54.405,0.31525
54.464,0.3259999999999999
54.483,0.3369999999999999
54.524,0.3115
54.58,0.2885000000000001
54.597,0.3095
54.639,0.3119999999999999
54.679,0.2915
54.729,0.32825
54.76,0.323
54.802,0.3177500000000001
54.848,0.33925
54.879,0.32625
54.925,0.2895
54.965,0.32325
55.004,0.30325
55.045,0.32325
55.082,0.33725
55.122,0.3165
55.179,0.32175
55.198,0.3265
55.25,0.33075
55.278,0.3009999999999999
55.319,0.2907499999999999
55.364,0.31225
55.398,0.3075000000000001
55.45,0.3007499999999999
55.478,0.3359999999999999
55.519,0.3092499999999999
55.569,0.3355
55.6,0.324
55.641,0.3225
55.683,0.3199999999999999
55.72,0.3195
55.782,0.31975
55.797,0.32475
55.843,0.2922499999999999
55.903,0.302
55.918,0.2847499999999999
55.931,0.3372499999999999
